source_dataset;input_column;target_column;rating_divisor
downtown;review_id;review_id;
downtown;customer_name;customer_id;
downtown;date;review_date;
downtown;rating;rating;1
downtown;review_text;review_text;
downtown;location;location;
downtown;business_name;restaurant_name;
eastside;review_number;review_id;
eastside;guest_name;customer_id;
eastside;visit_date;review_date;
eastside;satisfaction_score;rating;1
eastside;feedback_comments;review_text;
eastside;venue_location;location;
eastside;restaurant_name;restaurant_name;
uptown;id;review_id;
uptown;name;customer_id;
uptown;review_date;review_date;
uptown;star_rating;rating;1
uptown;comments;review_text;
uptown;venue;location;
uptown;establishment;restaurant_name;
midtown;review_id;review_id;
midtown;customer_name;customer_id;
midtown;date;review_date;
midtown;rating_out_of_10;rating;2
midtown;review_text;review_text;
midtown;location;location;
midtown;restaurant_name;restaurant_name;
