review_id,customer_name,date,rating,review_text,location,business_name,total_spent,tip_amount,tip_percentage,party_size,age_range,gender,ethnicity
3kw_ThR91_nHM_CGMhkaZg,Customer_4505,2011-04-27 18:46:45,4.0,"I haven't been here in a long long time, but went today with the coworkers to celebrate a birthday.  In the party were some super hard to please eaters who are big burger aficionados.  Since I picked I was a little nervous that it wouldn't satisfy--but I should've had faith.  We all had the Village Burger, but tailored to our own particular tastes (avocado to me, mushrooms over there, etc).  Our burgers were amazing, with several best burger I've ever had comments.   Also great were the pickled tomatoes we ordered to get ourselves started.  All in all a great lunch near the office.",Downtown,Village Whiskey,32.05,5.55,17.3,3,46-55,Non-binary,
RxF95SA7xWmQHH8nQ4aa9g,Customer_7381,2010-03-19 23:43:48,4.0,"Expect to feel guilty after leaving this place...if you are on a diet this is not the right place for you.  Find a way to work off the pounds, your taste buds will love you for it.  The burger is as good as they say it is...I would say standard tap gives it a run for its money, but I am a little biased.

The fries with braised rib was simply awesome, the serving is HUGE so be careful order other appetizers with it or you probably wont finish.

The place is a little small and tables are close so don't expect the most romantic place, but come on you are shoving fries covered in cheese and braised rib in your face, what do you expect? I would say go on an off day to avoid the wait if you can. The wine was particularly good.",Downtown,Village Whiskey,14.34,5.74,40.0,2,65+,Male,Other
X6mPOoNHvvxp7a6uC8FWtg,Customer_5892,2010-01-28 20:56:07,3.0,"I read all the reviews for VW and I guess maybe I just had a bleh experience, but I don't get what all the fuss is about.  I LOVE Amada and Distrito so I went here expecting to be blown away.  I went with a friend from work and was OK with having to sit at the back counter, but the counter is too low for the bar stools and makes for awkward seating.  The burger is delicious but there was not much cheddar on my burger for the $3 price tag.  The fries were good but did not live up to the hype.  And I ordered a Coke since I was getting a burger and was disappointed that they use the little bottles.  

But that's not the thing I even want to talk about - it's the service.  The service is BAD.  It took forever for someone to offer us a menu.  We were back by the kitchen entrance.  The servers were all standing around complaining that the tables weren't flipping fast enough.  They were having personal conversations instead of waiting on anyone.  I still can't believe that when I asked for ketchup the server had it in her hand while having a conversation with someone while I watched her and then she finally brought it over to me.  

Overall, an average experience that I would not figure for Garces.  But I'll maybe try it again and hope I have a better experience.  In the meantime, I'll stick to Distrito for my Garces fix!",Downtown,Village Whiskey,29.32,7.59,25.9,1,,Prefer not to say,Asian
36mFRDv4PCVnfhxfgVDkmg,Customer_1475,2012-08-20 16:15:47,3.0,"I'm a fan of Iron Chef, Jose Garcias so we decided to try Village Whiskey. First, let me say, it's very small, so don't expect a spacious place to dine. Although small, It's a nice looking place, cool atmosphere. The appetizers were DELICIOUS!!! We started with the crab cocktail and a horseraddish dip sauce. The crab was whole jumbo lump crab meat with chives finely chopped and mixed in the cocktail, it was served chilled, of course, and it was enough to intimately share. The short-rib cheddar fries were amazing! The short-rib is pulled and spread over a bed of fries topped with a cheddar cheese like sauce. The fries were crisp and crunchy, the short-rib meat was tender and flavourful. The raw Eastcoast oysters were fresh. They're slightly salty served with cocktail sauce and another sauce (???) it was very good. The drinks were awesome. If you're looking for something fruitier and smooth, try the one legged man. The mint julep was stronger than I expected, you can really taste the whisky and hints of mint. The New York sour is sour on top of sour if you like that sort of thing and the Sansome Street Sangria was pretty good with a hint of fruity wines and, once again, the whisky shines through. The featured item fell short for me. My entree was the Burger w/crab slaw, sunny side egg, applewood bacon, tomato and lettuce. The burger to bun ratio was way off. The bun was way to thick and wide. I must have bit the burger about 3 times before I made a dent in the burger. I was unable to taste any of the ingredients on my burger because the bread was so over-powering and thick. The burger and the toppings were sliding off the bun. I had to eat the toppings separate in order to taste them. Our bill was $144.00. I could've saved $100.00 and ate at Bobby Flays. He has the best burgers that I've ever tasted in my life. People fail to understand that a good burger is about having a nice soft reasonably sized bun with well seasoned good quality beef. The burger and the bun should be the same size. I should be able to comfortable open my mouth and,  with the first bite, taste all of the ingredients and toppings. Some chef's get caught up in the prettiness of the bun and the bigger the burger the better it taste... No! That's not it at all... To be honest. I'd rather have a burger from Nifty Fifty than Village Whisky. But it depends on how you like your burgers and I, frankly, am not impressed by size and glazed over-sized shiny buns. IF I go back, it would be for the appetizers only.",Downtown,Village Whiskey,36.69,5.54,15.1,2,65+,Prefer not to say,African American
DQga1p2Bn-EpD-QDTXBzJg,Customer_3091,2014-01-18 19:27:18,2.0,,Downtown,Village Whiskey,19.23,7.69,40.0,2,18-25,Prefer not to say,Caucasian
Xgl1RB9pryUO9dur0bZcfw,Customer_8564,2012-02-02 18:37:28,3.0,"Was in town on business so why not.

The burger itself was cooked to med-rare perfection the whole patty through, which makes me wonder if they sous-vide it and then give it a quick sear.   The meat itself, while quality, lacked proper seasoning. 

Foie gras has absolutely no business adorning a burger that also contains such overwhelming flavors as bleu cheese and bacon.  Or even a burger at all for that matter.  Its ALMOST as dumb as the concept of a kobe burger.  In any event, it's a gimmick thats worked well for this restaurant, to be sure.  I took mine off and ate it separately. It was delicious and i recommend you do the same if you want to taste the extra $12 or so you are spending. 

The deviled eggs were a pass. Nothing you couldn't replicate with google search and an ability to properly boil eggs.",Downtown,Village Whiskey,6.77,1.54,22.8,2,36-45,Prefer not to say,Mixed
gwMKPLtwDKSaKCtCd58kLQ,Customer_5558,2015-07-07 01:51:41,4.0,"Three friends and I went to Village Whiskey for an early dinner on the 4th of July 2015. I am new to Philadelphia, so a friend selected the restaurant. It is on the small side but has great atmosphere -- a nice old bar with plenty of mirrors, calm bartenders who seem to love their jobs, good music, and not one single TV to harsh my mellow. 

To start, we ordered the excellent pickled beets and 2 orders of the duckfat fries which was a good, if generous, slate of starters. The pickled beets were fantastic -- really fresh tasting, perfect sourness, and served with some perfectly crispy crostini, olive tapenade, and whipped butter. The fries were hot and tasty, but not for me. I prefer thinner fries and their fries are thicker, steak-style fries that tend to be a little mushier inside. For steak fries, they were good, but not for me. 

All four of us ordered very different items. I had the veggie burger, my boyfriend had the pork sandwich, and we had the sort of ""deluxe"" burger with fois gras as well a more standard burger by the last member of our group. All were pleased. All were almost sickeningly full, but that's likely our own faults for ordering hefty starters at a place with generous sandwiches as the main offering. I did not order a cocktail or beer because, honestly, I was feeling cheap and cocktails are $12 and small. That said, the offerings looked top quality and the bartenders looked skilled enough to warrant a very pricey cocktail. Overall, I was impressed and plan to go back. Perhaps JUST for cocktails at that pretty bar. The dessert was particularly good.",Downtown,Village Whiskey,15.07,2.95,19.6,2,,Prefer not to say,Native American
RBnYOh_OOMkaCOst659afA,Customer_8705,2012-02-08 16:20:35,4.0,,Downtown,Village Whiskey,17.59,1.28,7.3,4,56-65,Male,Mixed
2UVyQnvi3Dlmnh_ROqZlcA,Customer_1659,2014-03-18 20:22:01,4.0,"Best Tater Tots EVER. They were like little fried pieces of mashed potatoes. Never had them like that before. Usually they're crunchy all around. But it was like biting into a Carebear. Or something more tangible.

Burger itself was cooked to my specifications perfectly. I had the burger that had foie gras in it, which is too tasty. But like bad, right? People still protest it. And I get it.

The cocktails are nice and fancy and in fun 3-gulp glasses.

The suckiest thing is that this place is RIDICULOUSLY SMALL. It's like a narrow hallway with some high comfy seating and limited bar seating. Oof. Not cool. There is some outdoor seating which will be nice once the weather stops spazzing. Come, eat some really rich food and enjoy some really fancy cocktails, but don't bring your friends you know? Just bring the one you're trying to bang. The risotto was particularly good.",Downtown,Village Whiskey,25.86,2.81,10.9,3,26-35,Female,Caucasian
0Og33jITAMesSKgPLNtkKg,Customer_2874,2011-03-31 01:07:13,4.0,"To be honest, I wasn't expecting much from this restaurant because I'm not too impressed by Chef Garces on Iron Chef America (maybe wrongly so), but Village Whiskey was a pretty cool place.

The inside is quite small and people ended up staying and chatting after their meals to avoid the freezing cold temperature outside so even though we went there on a Thursday evening, we had a 30-45 minute wait (which was passed in the gelateria across the street).

I really liked the vibe inside.  Very laid back, dark colors, seats all along the bar and tall leather couches and tables for eating.  

For an appetizer, we ordered the pickled green beans and shallots, which came with olive tapenade, homemade ricotta cheese and toasted sourdough bread.  Wow, it was really good!  The pickled veggies were perfectly briny, sour and a bit sweet.  I could probably eat a whole jar of them.  The tapenade and ricotta was tasty as well, especially smeared on the sourdough bread. I felt like they didn't give enough bread to accompany the plate though.

I ordered the regular village whiskey burger ($11) which came with lettuce, tomato and homemade thousand island on a sesame bun.  I added cheddar ($3.50 - a bit pricey) and onion (raw, which I think was free...otherwise caramelized onion would have been an extra $1.50, no thanks).

My boyfriend got the whiskey king burger ($26) which was a decadent smorgasbord (maple bourbon glazed cipollini, rogue bleu cheese,
applewood bacon, foie gras), and an order of duck fat fries with sly-fox cheddar sauce.

Both burgers were superb.  They were cooked perfectly medium rare, which kept the meat juicy and tender.  The meat itself was very beefy and tasty.  My regular burger was already pretty darn good, but the whiskey king was pure awesomeness.  It was SO rich with the foie gras, and the sweet maple bourbon sauce complemented the salty, smokey bacon very well.  Not sure if it warrants the $26 price tag though...

The duck fat fries were crispy, but the extra $2 for the cheddar sauce wasn't worth it.

Service was okay, could have been a bit more attentive, but we had an okay time eavesdropping and people watching while we waited for our food.

Our tab was a bit high especially with drinks, so I would consider the place a splurge...but that darn whiskey king burger is just so WINNING!",Downtown,Village Whiskey,26.58,4.1,15.4,2,26-35,Prefer not to say,Native American
