review_number,guest_name,visit_date,satisfaction_score,feedback_comments,venue_location,restaurant_name,total_spent,tip_amount,tip_percentage,party_size,age_range,gender,ethnicity
xZnk3q-AHjpN6aSR_6Sqhg,Guest_6617,2011-11-02,5.0,,Eastside,The Bricks,22.25,3.99,17.9,3,,Non-binary,Other
2umV3kR4UxjuYV4wU7Qw1w,Guest_6307,07.02.2014,4.0,,Eastside,The Bricks,8.83,1.47,16.7,2,26-35,Prefer not to say,Native American
hBzLjPySOBHDz0NiGf6SfQ,Guest_8824,06/09/2018,4.0,"Friendly service & neat building. Depending on the atmosphere you are looking for, the music is a bit loud.",Eastside,The Bricks,20.2,3.23,16.0,2,36-45,Non-binary,African American
xZnk3q-AHjpN6aSR_6Sqhg,Guest_2054,2011-11-02,5.0,"They have a super friendly staff and a simple modern decor. I enjoyed the Six Degrees of Kevin Bacon exhibit on display. I got a really young and hip vibe from this place, and the sandwiches are amazing!",Eastside,The Bricks,,4.55,18.1,5,36-45,,Other
hQz9UnbHvv3ctllRquULuQ,Guest_2930,2015-04-18,5.0,,Eastside,The Bricks,16.3,2.07,12.7,2,56-65,Prefer not to say,Other
77SVp08MVwzf7CP9vviZgw,Guest_8140,2012-07-22,3.0,"We've heard that we need to go to places in Ybor and try them out, so we set out to find a place for dinner.  One thing is for sure...the menu has traditional food, but in a unique way.  

I ordered the deluxe grilled cheese (has tomatoes, pesto, whole wheat) and my husband had the BBQ pig quesadilla.  Both dishes were good, but I don't feel like they were 'awesome'.  

We went out on a limb and tried the hibiscus sangria and the chocolate espresso cake for dessert.  The cake was VERY espresso!  Too rich for me!  The sangria definitely tasted like flowers, but in a good way. It was pretty refreshing too!

 It was fun to try a new place, but I don't think we'll go back.",Eastside,The Bricks,35.9,5.48,15.3,2,18-25,,Other
L35Awd7K5slzNlEAI6H8xQ,Guest_4384,04/01/2016,4.0,,Eastside,The Bricks,35.04,6.71,19.1,4,,Female,Caucasian
Cf3QB0VEbdWFq94tZcWgTQ,,10.11.2017,5.0,,Eastside,The Bricks,24.48,3.56,14.5,2,26-35,Female,Native American
s9dqqPMdKO3QdJ5s7lrt3g,Guest_3742,2016-11-28,1.0,"This place is listed as vegetarian-friendly and it is, provided that you eat eggs, cheese, and whatever else they put on the food without listing it in the menu description. Unfortunately this place was a nightmare for me as a vegan. I ordered the veggie cuban with no swiss or honey mustard since those were the only non-vegan ingredients listed in the description, and if it wasn't for the server mentioning ""oh that's a great choice; the chef puts an egg on it too,"" then I would have gotten a sandwich with egg. After I stressed ""no animal products, no egg, no dairy, no butter,"" the server responded with ""oh well you know the egg isn't actually meat"" as opposed to, you know, respecting my dietary restrictions.

I have no intention of returning, due to the lack of clarity on the menu and the server's rudeness when I was expressing my allergies/restrictions. Maybe if the restaurant lists all of the ingredients and trains their staff on how to not be rude to someone who was rightfully annoyed at almost getting an item I couldn't eat, then it might be worth a recommendation. But then again, it's not a vegan-friendly establishment despite it being vegetarian-friendly.",Eastside,The Bricks,18.19,3.2,17.6,2,46-55,,Caucasian
uoiQHg2o0l9eNvOESYq1UA,Guest_9292,2016-03-07,1.0,"It sucks, don't go!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Cold food, stuck up waiters, expensive drinks",Eastside,The Bricks,,3.68,35.0,3,18-25,Female,Asian
siwaa7bmNx91IxRVWwhp3g,Guest_4965,29.05.2014,4.0,,Eastside,The Bricks,13.76,1.96,14.2,1,56-65,Prefer not to say,Other
C5VBfvKrFBGl7uhEONk8OA,Guest_5014,09.02.2017,5.0,"Great bar/café! Such a great place to hang, inside is beautiful and outside you can hear nice music while having a coffee and a cig! Definitely coming back! Loved it",Eastside,The Bricks,29.73,5.61,18.9,2,46-55,Male,Other
