review_id,customer_name,date,rating_out_of_10,review_text,location,restaurant_name,total_spent,tip_amount,tip_percentage,party_size,age_range,gender,ethnicity
RO4a3GrqJ7NM6TW07U-R9Q,Customer_8201,2014-08-30 03:28:01,8.0,,Midtown,Luke,,5.87,23.1,4,36-45,Non-binary,
zuqMNagy_joYqkxt7ip4Pg,Customer_8595,2014-05-11 23:16:51,10.0,,Midtown,Luke,,6.26,20.4,8,46-55,Male,Hispanic
dd6yIkdKo8KNcl9z_LJWZA,Customer_6299,2010-12-10 00:41:45,10.0,,Midtown,Luke,29.61,4.73,16.0,2,,Prefer not to say,Asian
BHF62YMePW13k8I-PrMJVQ,Customer_3686,2011-07-01 00:20:34,4.0,"I came here with a bachelor party group on a Saturday evening.  We sat in the back, and first ordered our drinks and some oysters.  Not a very impressive beer selection...and pretty hefty on the pricing.  The oysters came out and were excellent.  This was my first time doing raw oysters and I was impressed...but then again, it's pretty hard to screw up raw oysters....guess I'll give more credit to the Gulf of Mexico on that one.  Next, for my meal, I ordered the duck confit and white bean cassoulet with bacon and sausage.  The meal came out and I first went for the duck wing.  It was simply roasted with some seasonings.  Very tender and very good tasting.  Of course, it seems pretty hard to screw this up too.  I'll give more credit to the duck.  Next came the garlic sausage.  This was not good.  It was a giant six inch long sausage, about 1.5 inches in diameter....just a giant chunk of meat that didn't have much taste.  It was overall pretty bland.  I don't know where the garlic they were talking about is in it.  Next was the smoked bacon.  It was more of a bacon cube.  Just a fatty piece of pork belly....which was almost all fat.  Not impressive.  Last came the white bean cassoulet.  This was also very unimpressive.  I'm not sure what seasonings they added to this or if they added any at all.  It was just white beans with cheesy/mooshy tasteless stuff in between topped with breadcrumbs.  Very, very unimpressive.  Overall, I was very unimpressed with this place, especially considering the reviews and prices.  You're better off getting a few Krystal burgers on Bourbon...yes, I am serious.",Midtown,Luke,40.62,8.86,21.8,2,18-25,Male,Hispanic
wkUwUNHDzdxWeKWvn94DnQ,Customer_9383,2018-02-24 18:13:21,10.0,"Another amazing dining experience by BRG Hospitality. Every bite we took was amazing. The Shrimp & Crab ""Étouffée,"" the Jumbo Louisiana Shrimp ""En Cocotte,"" the Gnocchi and the Luke burger were all delicious, but the show stopper for me was the Tuna Tar Tar! The only problem with the Tuna Tar Tar was that I probably could have eaten 4 or 5 of the portions. Also, they use server ""teams,"" which I usually have mixed experiences with, but both of our servers were phenomenal. We will definitely be back when we return to NOLA.",Midtown,Luke,,12.43,12.7,1,,Prefer not to say,Other
nUrASK4AEPIiTPSNv2duQQ,Customer_3656,2013-05-10 19:29:28,4.0,"So so so bummed out by our Luke experience. From start to finish, it was a let-down.

First, we made reservations way in advance for a Sunday evening for 7 p.m. We made the reservation online, and had email confirmation. When we arrived, we were (angrily) told that we'd missed our 5 p.m. reservations and that they'd need to look to see if they could accommodate us. When we insisted we hadn't missed the reservation and showed them the email confirmation on our phone, we were still rudely told that their system said it was for 5. Not the best beginning...

The rest of the meal was similarly just off. We ordered oysters to begin, but they were brought along with our entrees. I ordered the etouffee and my husband had a pork shank dish-  first, the portion sizes were very large, almost overwhelmingly so. Second- the flavors in both our dishes were just off. Mine was very one note and the seafood was overwhelmed by the sauce it was in. My husband said his pork was very one-note as well. Our oysters were tasty but... we would have liked them better before the entrees, as we'd requested.

I liked their French 75 cocktail I ordered.

I wouldn't go back to Luke.",Midtown,Luke,38.52,7.4,19.2,2,26-35,Male,Other
hXaALC5PMAySfgCOkOI4oA,Customer_3155,2014-10-13 02:06:11,8.0,,Midtown,Luke,33.63,0.0,0.0,8,56-65,Non-binary,Caucasian
p-EED4EWpwRkmwpytipntg,Customer_4897,2015-01-20 01:33:22,,"Wonderful place for Sunday brunch.  We arrived at 10 AM just as brunch started.  Before that is a small breakfast menu.  The bloody Mary was great.  Nice and spicy just the way I like it.  My husband and I had the Croque Madame.  A really great choice.  The bread was nice and toasty covered with delicious ham and a smooth bechamel sauce with Emmental cheese covered with more bread and grilled with more cheese and bechamel on top.  Then a perfectly fried egg on top of that.  It was delicious.  It was served with a cup of very good fries.  The coffee is french press, so it will have a few grounds floating in it.  A very  good meal.  We had to walk down to the river afterwards before the drive back to Baton Rouge.  We will be back- it was that good.",Midtown,Luke,43.88,10.42,23.7,2,,Prefer not to say,
DFqtmfc9-yfETcaYSitjhA,Customer_4401,2017-02-21 07:01:09,8.0,Had a good experience at John Besh's restaurant. Make sure to make reservations. I ordered the mussels and gumbo and was pretty satisfied.,Midtown,Luke,,12.22,17.1,2,26-35,Male,Mixed
irzZj6bcm_7Eum8tENeF7Q,Customer_2436,2013-09-04 02:35:19,2.0,This place is part of the Hilton hotel and way more expensive than the Yelp price range suggests.  Room-service food at room-service prices!,Midtown,Luke,57.29,10.41,18.2,2,46-55,Female,African American
QlWTZOl3v6T2reJjryidSg,Customer_3906,2017-04-20 14:11:13,10.0,Came here for Easter lunch and again for happy hour.  The crawfish bisque is tasty.  For happy hour the oysters are a great deal!! They were huge!  The specialty drinks were half priced.  Service was excellent both times.,Midtown,Luke,,12.25,40.0,3,56-65,Non-binary,Caucasian
DKHNbtj0Tsyoxa0PFTWSpA,,2015-03-07 19:48:48,6.0,The food was just not good enough to match the price.  Very expensive and the food did not particularly wow me.  It was overall OK.,Midtown,Luke,23.4,4.91,21.0,4,,Male,Native American
yl0Zi3ziX8lyGFH42VjcRw,Customer_4438,2016-02-27 06:59:39,6.0,,Midtown,Luke,38.08,9.36,24.6,3,56-65,Male,Hispanic
jJue8A3Lh3gpXMyuenbH-A,Customer_5705,2015-09-26 15:07:40,,"Our first breakfast. Fancy!

Husband ordered the crab bisque, which was delish, creamy, rich in flavors,  had a few chunks of crab. 

We shared Stuffed P&J Oysters,  amazing!  Omg, it was so good.  Juicy!  Probably the best stuffed oysters ever.

Fried Chicken and Biscuit 
It is crazy good.  The batter is awesome,  we've never had batter this good.  It is a bit sweet.  The chicken itself was moist and juicy,  but not oily. The biscuit was also good.  Big portion.

Fried Soft Shell Crab
That was so good,  with fried kale and butternut squash.

En cocotte with crab
The flavors were explosive!  I wish I had more sauce.  Shrimps were juicy and big. The crab was an excellent addition,  however at $13, I felt more crab could have been added.

Overall,  this was one of the best breakfasts we've experienced.  A bit pricey,  but the food was phenomenal.",Midtown,Luke,30.07,2.47,8.2,4,,Non-binary,Native American
wvH5d67ZkLX1x4ZfGaRDCg,Customer_9514,2011-02-21 16:31:15,,"HAPPY HOUR OYSTERS & BEER!
Stayed at the hotel and went down for HH. No waiting for a table. Our waiter was very, very sweet BUT he must have been new because he struggled with our questions...AND he was very, very slow. When we put in our drink orders, I had to remind him to bring the drinks after waiting 15 minutes. But I couldn't be mad at him- he was nice and he brought me a FREE beer & when I told him I love lemons- he brought me TWELVE lemon wedges....WOOHOO!! We had 5 dozen oysters (between 3 people), they were on the small side but you can't beat it for the price. They brought out vinegar as one of the condiments for the oysters and I am sold- loved it! Can't wait to go back!",Midtown,Luke,12.11,1.81,15.0,2,,Prefer not to say,African American
tD_vZ6ACjNJRIflZGVLGFw,Customer_8616,2017-07-10 21:40:39,8.0,"My friends stayed in the hotel above Luke's so we went here for lunch one day. We did not regret it.

The food and service were good. Our waitress recommended the Brussels sprouts which were extremely flavorful, unlike any I've ever had. I ordered their chicken and waffles and was a little disappointed they use boneless chicken breasts but the taste was still good with the butter giving an extra dominion of taste. I didn't get the burger but one of my friends did and it was hearty. He said it was good as well. Definite recommend.",Midtown,Luke,27.28,6.26,23.0,2,18-25,Female,Other
lwXKGMXUeF3xQ0165cb7UA,,2014-02-26 13:17:00,4.0,"We went here for brunch before the parades while visiting New Orleans Feb. 2014. We didn't have a reservation, but they did seat us. It is loud and was very cold. My husband decided to order the hamburger. It was a $16 hamburger, so he thought it should be spectacular. He said it was just okay. I decided on the steak. I ordered it medium. First time they brought it out, it could moo. I asked to have it recooked. When it was brought back, it was tough and flavorless. I have to say the fries were great and the weight staff was wonderful. But I would definitely not go back there.",Midtown,Luke,53.29,11.05,20.7,1,36-45,Non-binary,Hispanic
yWpluVHXiwE-JvOHIehlLA,Customer_6592,2017-03-22 18:27:09,,The staff here are super friendly and helpful. The food was amazing! We had the jalapeño shrimp and grits and he muscles and fries. Would definitely recommend this place to anyone visiting the area.,Midtown,Luke,26.38,4.21,15.9,2,,,Caucasian
oMmkEVfoglLSynOD0eJIvw,Customer_8774,2011-02-21 06:31:29,10.0,,Midtown,Luke,,12.86,16.4,3,65+,Female,
q__tRs0RY-GF5dH4_HfS1Q,Customer_7782,2018-06-11 13:00:18,10.0,,Midtown,Luke,16.38,0.0,0.0,4,,,Native American
