id,name,review_date,star_rating,comments,venue,establishment,total_spent,tip_amount,tip_percentage,party_size,age_range,gender,ethnicity
9tGxCSt6z-ZPeJFxoc_T4A,Customer_6016,2015-12-23 16:23:07,⭐⭐⭐⭐,"I've been here twice now, and the food is always great and the service is decent. The only reason I didn't give 5 stars is because the food takes a while to come out, even when it's not super busy. I've gotten the fish tacos (they are HUGE), burgers, fries (also huge portions), and goat cheese and pistachio guacamole. Like I said, the food is always very good, but if you're coming on a weekend, be prepared for a very long wait. It has a super hip atmosphere and you'll find a lot of twenty-somethings there.",Uptown,Tavern,39.72,11.92,30.0,2,65+,Male,
kVPUow1BON0KfPzndxW57w,Customer_4496,2018-07-09 00:09:28,⭐⭐⭐⭐⭐,,Uptown,Tavern,50.81,3.86,7.6,2,56-65,Non-binary,Hispanic
F44PdlI3I-6QmnOMkUE-Mw,Customer_7373,2016-06-12 18:12:17,⭐⭐⭐⭐⭐,,Uptown,Tavern,34.66,7.12,20.5,1,36-45,Female,Asian
C3lyvFsXo9ijb2PovX3h7w,Customer_6386,2015-08-08 21:45:53,⭐⭐⭐⭐,"The atmosphere is very clean, modern, and slightly upscale. They offer a brunch and a large selection of drinks. They are very packed for brunch though. Their brunch runs pretty late. I got there around 2pm and they said brunch was ending soon. Their brunch menu items cost around $10 each. Their normal dinner menu gets a little pricier, but you don't have to spend a lot of money here.",Uptown,Tavern,117.73,16.63,14.1,2,46-55,Male,Hispanic
9chZYiGTTrkRaHZQxg__FA,Customer_5230,2016-10-02 03:21:25,⭐,"Decided to try this place after our Airbnb host recommended it. Total miss! Way too overpriced for what we got. We ordered guacamole because they were out of cauliflower. The guacamole was too plain, lacking salt and spice. The size was ridiculously small and disproportional to the amount of chips you get with it. We also had chicken skewers, that were described as ""sesame, garlic, ginger..."". It literally tasted like chicken with some super sweet teriyaki sauce. The rice with it was totally plain too. We had kale salad with ahi tuna. Also was lacking taste, and the size of kale and tuna was disproportional. Not worth the money at all.",Uptown,Tavern,56.17,5.33,9.5,2,36-45,Non-binary,Other
pdhzV2NxQqbFUb9GCfxZ6Q,Customer_3685,2014-05-27 00:13:47,⭐⭐⭐,"I don't get it. 4 and 5-start reviews abound, and the weekend brunch line is absurd, but I'd have to describe my experience at Tavern as ""just okay.""

I went here on a Sunday morning ambigudate a month ago. We managed to get bar seating after waiting about 10 minutes, which seemed pretty good compared to the lengthy wait for a real table. The place was bustling, but we didn't have to wait too long to get in our drink orders. That said, while I love deals--and 2-for-1 mimosas and the like qualify--I wasn't bowled over. It tasted like a cheap cava and was heavy on the orange juice.

I ordered a burger while my dining companion decided to go with the traditional brunch. My burger was decent but not mouthwateringly amazing, which makes it a far cry from many of the reviews claiming this to be the ""best burger in Nashville."" Similarly, despite the attempts to make the brunch fare a bit fancier, I wasn't bowled over by any of the flavors.

While the prices aren't crazy expensive, they aren't cheap either. Overall I'd describe Tavern as ""fine."" I'd have no qualms about returning, but the foodie within me doesn't get the hype. 

Nashville, just because something is dressed up to look fancy and act fancy doesn't mean it's *actually* fancy.",Uptown,Tavern,16.02,2.91,18.1,3,,Non-binary,Native American
gFzr7vTZX7t7kRtaKJU_KQ,Customer_9989,2015-09-10 19:52:35,⭐⭐⭐⭐⭐,,Uptown,Tavern,44.34,6.77,15.3,2,18-25,Female,Hispanic
kzs8LjBjfiBV9aW09tr-Ew,Customer_1054,2014-02-11 23:16:39,⭐⭐⭐,,Uptown,Tavern,102.35,0.0,0.0,2,,Non-binary,African American
LxwfF7_VZ2oyUfP2M084VA,Customer_2989,2014-08-14 20:55:34,⭐,"We came here because of all the great yelp reviews, I can't believe this is 4-stars.. Good beer selection, good atmosphere, and decent service.  The food, however, was bla.. We really wanted to try the fried chicken skins, they came out very hard and very stuck together.  The sauce had good flavor but the skins came in a clump that we could hardly break apart. Our food came out about 4 minutes I into our attempt to chisel the skins apart. Kaya toast was weird and really lacked anything to bring the dish together.  After scraping off the sauce it was basically Texas toast and an egg.  The 2 sets of tacos we ordered were both overcooked and VERY dry. Come here for drinks, skip the food!",Uptown,Tavern,53.89,16.14,30.0,2,,,
elqRpX9T3YwL07uLNtN3Bg,Customer_5559,2015-02-02 04:29:13,⭐⭐,"I at least have to give this restaurant two stars due to the decent food. But while on a dinner meeting and after spending $100 on entrées and appetizers, I had to flag down the assistant cook, (the guy in bright red baggy pants watching TV), to see if I could get more avocado for my tuna entrée.  He made it very apparent and direct that he could not help me with that situation and I would have to flag down my  waitress so she could bill me for the four dollar avocado.",Uptown,Tavern,54.34,2.43,4.5,1,36-45,Male,Mixed
Dzv84h7Cv3xSkoT4qHFtAQ,Customer_9934,2013-12-12 21:39:55,⭐⭐⭐⭐,"So happy we found this cool little spot in the heart of West End during a one-night stay in Nashville. To be concise, here's a rundown of pros/cons:

Pros:
- My boyfriend and I went here around 7 PM on a Tuesday night. It was decently busy, but not overly crowded. We were seated right away. Like.
- The kale salad was life-changing. I waffled for a long time on what to order, and I was NOT disappointed. I couldn't stop eating it! Best salad I've ever had in a restaurant. Get it topped with salmon too. mmm!
- The bf got the fried chicken skins and the beef short rib tacos. He said the tacos were small and not much to them, but overall good flavor and tasty.
- Wine list is great! I got some bubbly and it was reasonably priced.

Cons:
- Service was a bit lacking in my opinion - I get that this is the trendy area, but the vibe seemed a bit pretentious and not very welcoming. [NOTE: If you're from/have spent a considerable amount of time in Chicago, this is a very River North-esque bar. End of story.]
- Beer menu needs some SERIOUS attention. I was shocked there wasn't more quality stuff on that list, hence my choice for wine. Bud and High Life? Come on, man.

Notes:
- A little loud and dark in general - not the best for conversation.
- A lot of TVs all around, so might be fun for gameday, but I can't say for sure.",Uptown,Tavern,32.84,13.14,40.0,1,18-25,,Hispanic
i4XsL5ShtxUB_BjGxBExZw,Customer_3658,2016-09-30 23:54:44,⭐⭐⭐,,Uptown,Tavern,35.25,7.46,21.2,2,26-35,,Asian
POfEzJaN4RLwxPlkWV4rfw,Customer_6757,2012-08-19 23:30:24,⭐⭐⭐⭐,"Went for brunch on Saturday and was extremely pleased to discover 2-for-1 drinks! Our group tried pretty much one of each drink and were extremely happy with each, particularly the Wicked Bloody Mary. The atmosphere was great-- trendy but very relaxed. I had the Singapore Stir fry, which was so flavorful and a wonderful change from the usual breakfast fare. As I dont eat meat or cheese, breakfast can be a little boring and standard, but this was a delicious option that strayed from the ordinary. Others had two different omelet varieties and the eggs benedict uno, all of which made the table very happy and satisfied. Would definitely recommend for brunch.. My only wish would be that they had more vegetarian options. The bloody marys by far made up for that though!",Uptown,Tavern,98.92,17.95,18.1,1,,Prefer not to say,Other
no9ZhPLnxlhx6GKk3s5AHA,Customer_7593,2015-12-22 21:37:23,⭐⭐⭐⭐⭐,"I could eat the blue cheese fondue on almost anything. I bet liver would taste good in that fondue. Fortunately I had some really good buffalo cauliflower to go along with and I hasten to say it was a top 5 all time appetizer ever.People rave about the fries and they were good but not the best I have had. The Tavern burger on the other-hand may be the best burger I have ever had. Made from ground rib-eye and filet makes me believe God made the burger lol The lobster sliders were really good but 22 bucks not that good. The mushroom soup had to be made by Angels it was amazing. Its a little pricey but you definitely get what you pay for, for the most part. As a whole it may be the best lunch ever. I give very few 5 stars on average and this was well earned. The place is nice and cozy and the staff were great. It was a religious experience involving food.",Uptown,Tavern,27.5,5.22,19.0,1,26-35,,
fUK6gdpPTE44NUa2kpVXMA,Customer_2096,2016-10-15 18:51:28,⭐⭐⭐,,Uptown,Tavern,81.08,32.43,40.0,2,26-35,Prefer not to say,
rEp28myVdzrisZxCjrFwTA,Customer_4262,2011-07-11 17:44:12,⭐⭐⭐⭐⭐,"What a fabulous new place to dine! The staff is extremely friendly, the food is creative and they have the BEST burger in town! Not only is the food great, but their use of social media is as well. I sent a tweet out about how great their burger is and received a nice card and gift certificate for my next dining experience. Nicely done, guys!",Uptown,Tavern,40.46,6.24,15.4,2,18-25,Prefer not to say,Asian
LZ17wL4ZtBdoTfkmj9pKiQ,Customer_7103,2015-07-31 17:07:59,⭐⭐⭐⭐,"The food here is outstanding. I generally get the Tavern Burger, which is legitimately one of the best in town. The desserts are great as well; for instance, they let you make s'mores at your table. Furthermore, the beer selection is fairly robust, usually with several local breweries on tap. 

The downside here is the service. First, it's usually quite slow, even when the dining room is not too busy. It's taken over an hour to get my lunch before, and not during peak hours. However, the pace does not bother me as much as some of the staff's snooty demeanor. The hostesses in particular are generally a bit condescending, which is off-putting. The wait staff themselves are usually a bit better; you can tell they work for tips, whereas the hostesses quite clearly do not. All in all a good spot for lunch or supper, though.",Uptown,Tavern,43.06,11.38,26.4,2,46-55,Male,Mixed
1pXjRYRCmvsPrGPrFybvPA,Customer_2396,2014-04-21 19:32:01,⭐⭐,,Uptown,Tavern,113.14,16.53,14.6,2,18-25,,Hispanic
4IsR7lxY-4gJx-itOP9VEQ,Customer_6582,2014-05-29 21:44:38,⭐⭐⭐⭐,"What I liked:
1. White Trash Hash- With a name like that, what's there not to like?  While I'm sure I could re-create this for about $2 (smashed fried hashbrowns smothered in cheese), it was well worth the extra cost to enjoy at brunch.  YUM!
2. Brunch Menu- There were too many delicious options to choose.  I went with a salad, but everything (especially the burger and french toast) looked and smelled fantastic.
3. Bloody Marys- They served my favorite, Zig-Zag mix and you get 2 for the price they charge.

What I didn't like:
1. This place gets VERY crowded on the weekend during the brunch rush.  We were quoted at hour+ wait shortly after they opened and ended up just snagging a seat at the bar.
2. Service- The bartender was understaffed and a bit slow to respond to requests.  They also forgot about part of our order and had to be reminded.

Overall Verdict: Make a reservation or show-up early and prepare to wait.  Get the white trash hash and enjoy delicious brunch!",Uptown,Tavern,38.38,7.33,19.1,6,,Male,Mixed
TNgy0o_Bw8JvyEgvrSsKGg,Customer_7973,2018-08-17 11:15:11,⭐⭐⭐⭐⭐,Everything is wonderful at The Tavern!!!!. The service is outstanding. The seafood choices are plentiful. The skillet bread is  so so good! I love the portion size..just right. The Chocolate chip cookie skillet dessert is super super delicious! We have gone on a Sunday night a few times a it's semi- quiet and it's a delightful Sunday meal.,Uptown,Tavern,38.22,9.93,26.0,2,,Male,Caucasian
1pXjRYRCmvsPrGPrFybvPA,Customer_3243,2014-04-21 19:32:01,⭐⭐,,Uptown,Tavern,67.2,9.65,14.4,2,,Prefer not to say,African American
qZll0RzBgnxw2Z4LnBii3w,Customer_2218,2016-05-09 15:54:16,⭐⭐⭐⭐⭐,The Tavern have the best burgers and the service was great. Atmosphere was nice and family friendly. I will definitely be back if I visit Nashville again.,Uptown,Tavern,131.75,46.11,35.0,4,18-25,Prefer not to say,Native American
QCb9Wgt7bCB0GDTNaght9w,Customer_7666,2014-11-01 01:58:16,⭐⭐⭐,,Uptown,Tavern,27.8,3.4,12.2,5,36-45,Non-binary,African American
nYVGowsSH6UM6oIuZ1x1rw,Customer_3251,2015-02-03 17:57:27,⭐⭐⭐⭐⭐,,Uptown,Tavern,44.5,17.8,40.0,5,56-65,Male,Mixed
